Player,CobraInterpol
Wins,31
Losses,14
OTL,2
W_DNF,5
Goals,59
Assists,53
Points,112
Pts/G,2.4
GWG,7
+/-,46
TOI,2829
PIM,38
PPG,10
SHG,5
Penalties,0
Attempts,1
P_%,0.0
Offsides,24
Offsides/G,0.5
Fights,2
Fights_Won,0
Faceoffs,1
F_Won,1
F_Lost,0
F_Attempts,100.0
Hits,38
Hits/G,0.8
Blocks,23
Shots,305
Shots_%,19.3
Shots/G,6.5
S_Attempts,424
S_On_Net_%,71.9
Passes,886
P_Attempts,1226
Pass_%,72.3
Saucers,4
Dekes,12
Dekes_Made,8
Giveaways,380
Takeaways,199
Scrn_Chance,369
Scrn_Goals,0
Brk_Goals,3
Breakaways,11
Brk_%,27.3
Sk_Gc?,46
Hat_Tricks,4
Prev_Goals,3
PrevAssist,1
Possession,13402
Deflections,1
Pk_Clear,5
Pen_Drawn,42
Games_LW,47
Games_RW,0
Games_C,0
Games_D,0
Played,47
DNF,2
Win_%,65
clientPlatform,ps5
