Player,Dr_Charizard
Wins,34
Losses,19
OTL,2
W_DNF,5
Goals,4
Assists,36
Points,40
Pts/G,0.7
GWG,1
+/-,37
TOI,3310
PIM,35
PPG,1
SHG,0
Penalties,0
Attempts,0
P_%,0.0
Offsides,4
Offsides/G,0.1
Fights,0
Fights_Won,0
Faceoffs,0
F_Won,0
F_Lost,0
F_Attempts,0.0
Hits,143
Hits/G,2.6
Blocks,71
Shots,36
Shots_%,11.1
Shots/G,0.7
S_Attempts,73
S_On_Net_%,49.3
Passes,1317
P_Attempts,1645
Pass_%,80.1
Saucers,5
Dekes,10
Dekes_Made,3
Giveaways,270
Takeaways,266
Scrn_Chance,67
Scrn_Goals,0
Brk_Goals,0
Breakaways,1
Brk_%,0.0
Sk_Gc?,54
Hat_Tricks,0
Prev_Goals,0
PrevAssist,0
Possession,11228
Deflections,0
Pk_Clear,12
Pen_Drawn,22
Games_LW,2
Games_RW,0
Games_C,0
Games_D,53
Played,55
DNF,1
Win_%,61
clientPlatform,ps5
