Player,Matmenlar
Wins,36
Losses,20
OTL,2
W_DNF,6
Goals,62
Assists,69
Points,131
Pts/G,2.3
GWG,9
+/-,33
TOI,3446
PIM,101
PPG,8
SHG,5
Penalties,0
Attempts,1
P_%,0.0
Offsides,41
Offsides/G,0.7
Fights,3
Fights_Won,1
Faceoffs,1502
F_Won,865
F_Lost,637
F_Attempts,57.6
Hits,189
Hits/G,3.3
Blocks,29
Shots,297
Shots_%,20.9
Shots/G,5.1
S_Attempts,395
S_On_Net_%,75.2
Passes,747
P_Attempts,1090
Pass_%,68.5
Saucers,31
Dekes,20
Dekes_Made,14
Giveaways,650
Takeaways,205
Scrn_Chance,332
Scrn_Goals,0
Brk_Goals,6
Breakaways,29
Brk_%,20.7
Sk_Gc?,58
Hat_Tricks,7
Prev_Goals,0
PrevAssist,5
Possession,18209
Deflections,33
Pk_Clear,5
Pen_Drawn,36
Games_LW,0
Games_RW,0
Games_C,58
Games_D,0
Played,58
DNF,0
Win_%,62
clientPlatform,ps5
