Player,Merkesh_accote
Wins,12
Losses,7
OTL,0
W_DNF,1
Goals,3
Assists,13
Points,16
Pts/G,0.8
GWG,0
+/-,10
TOI,1122
PIM,18
PPG,0
SHG,0
Penalties,0
Attempts,0
P_%,0.0
Offsides,0
Offsides/G,0.0
Fights,0
Fights_Won,0
Faceoffs,0
F_Won,0
F_Lost,0
F_Attempts,0.0
Hits,29
Hits/G,1.5
Blocks,27
Shots,26
Shots_%,11.5
Shots/G,1.4
S_Attempts,62
S_On_Net_%,41.9
Passes,447
P_Attempts,558
Pass_%,80.1
Saucers,48
Dekes,1
Dekes_Made,1
Giveaways,162
Takeaways,98
Scrn_Chance,50
Scrn_Goals,0
Brk_Goals,0
Breakaways,0
Brk_%,0.0
Sk_Gc?,19
Hat_Tricks,0
Prev_Goals,0
PrevAssist,0
Possession,6160
Deflections,0
Pk_Clear,11
Pen_Drawn,8
Games_LW,0
Games_RW,0
Games_C,0
Games_D,19
Played,19
DNF,0
Win_%,63
clientPlatform,ps5
