Player,SwissyChief
Wins,8
Losses,7
OTL,1
W_DNF,4
Goals,1
Assists,12
Points,13
Pts/G,0.8
GWG,0
+/-,4
TOI,889
PIM,16
PPG,0
SHG,0
Penalties,0
Attempts,0
P_%,0.0
Offsides,0
Offsides/G,0.0
Fights,0
Fights_Won,0
Faceoffs,0
F_Won,0
F_Lost,0
F_Attempts,0.0
Hits,33
Hits/G,2.1
Blocks,16
Shots,39
Shots_%,2.6
Shots/G,2.4
S_Attempts,77
S_On_Net_%,50.6
Passes,241
P_Attempts,296
Pass_%,81.4
Saucers,7
Dekes,9
Dekes_Made,5
Giveaways,83
Takeaways,51
Scrn_Chance,65
Scrn_Goals,0
Brk_Goals,0
Breakaways,0
Brk_%,0.0
Sk_Gc?,14
Hat_Tricks,0
Prev_Goals,0
PrevAssist,0
Possession,3759
Deflections,0
Pk_Clear,10
Pen_Drawn,1
Games_LW,0
Games_RW,0
Games_C,0
Games_D,16
Played,16
DNF,12
Win_%,50
clientPlatform,ps5
