Player,eLToNy-,SwissyChief,Matmenlar,CobraInterpol,Dr_Charizard,Merkesh_accote
Wins,18,4,18,18,17,7
Losses,7,4,7,4,6,4
OTL,2,0,2,2,2,0
WbyDNF,3,2,3,3,3,0
Goals,25,1,41,32,1,2
Assists,45,8,32,32,19,10
Points,70,9,73,64,20,12
Pts/G,2.6,1.1,2.7,2.7,0.8,1.1
GWG,2,0,4,4,0,0
+/-,21,3,20,32,27,3
TOI,1673,468,1650,1490,1534,649
PIM,16,12,45,18,14,16
PPG,3,0,5,6,0,0
SHG,3,0,4,5,0,0
Penalties,0,0,0,0,0,0
P_Attempts,0,0,1,1,0,0
P_%,0,0,0,0,0,0
Offsides,13,0,18,12,3,0
Offsides/G,0.5,0,0.7,0.5,0.1,0
Fights,0,0,0,1,0,0
Fights_Won,0,0,0,0,0,0
Faceoffs,43,0,747,1,0,0
F_Won,19,0,422,1,0,0
F_Lost,24,0,325,0,0,0
F_Attempts,44.2,0,56.5,100,0,0
Hits,74,10,84,24,76,19
Hits/G,2.7,1.2,3.1,1,3,1.7
Blocks,14,7,13,14,32,21
Shots,176,27,156,145,15,11
Shots_%,14.2,3.7,26.3,22.1,6.7,18.2
Shots/G,6.5,3.4,5.8,6,0.6,1
S_Attempts,240,50,200,193,24,31
S_On_Net_%,73.3,54,78,75.1,62.5,35.5
Passes,573,122,354,507,616,254
P_Attempts,766,159,535,688,786,334
Pass_%,74.8,76.7,66.2,73.7,78.4,76
Saucers,5,4,17,3,3,28
Dekes,10,2,17,6,7,0
Dekes_Made,3,1,11,4,3,0
Giveaways,214,50,319,197,130,108
Takeaways,152,32,94,109,121,55
Scrn_Chance,221,42,169,177,21,27
Scrn_Goals,0,0,0,0,0,0
Brk_Goals,0,0,6,0,0,0
Breakaways,3,0,22,6,0,0
Brk_%,0,0,27.3,0,0,0
Sk_Gc?,27,8,27,24,24,11
Sk_Gc_FC?,0,0,0,0,0,0
Hat_Tricks,2,0,5,2,0,0
Prev_Goals,2,0,0,2,0,0
PrevAssist,2,0,0,2,0,0
Possession,7059,2005,8433,6087,4792,3488
Deflections,2,0,14,0,0,0
Pk_ClearZn,24,3,2,5,6,8
Pen_Drawn,28,0,17,25,9,4
Games_AsLW,0,0,0,24,2,0
Games_AsRW,27,0,0,0,0,0
Games_AsC,0,0,27,0,0,0
Games_AsD,0,8,0,0,23,11
gamesCompletedFC,0,0,0,0,0,0
winpct,66,50,66,75,68,63
