,eLToNy-,SwissyChief,Matmenlar,CobraInterpol,Dr_Charizard,Merkesh_accote
wins,18,4,18,18,17,7
losses,7,4,7,4,6,4
otl,2,0,2,2,2,0
winnerByDnf,3,2,3,3,3,0
skwinnerByDnf,3,2,3,3,3,0
skgoals,25,1,41,32,1,2
skassists,45,8,32,32,19,10
skpoints,70,9,73,64,20,12
skpointspg,2.6,1.1,2.7,2.7,0.8,1.1
skgwg,2,0,4,4,0,0
skplusmin,21,3,20,32,27,3
sktoi,1673,468,1650,1490,1534,649
skpim,16,12,45,18,14,16
skppg,3,0,5,6,0,0
skshg,3,0,4,5,0,0
skpenaltyshotgoals,0,0,0,0,0,0
skpenaltyattempts,0,0,1,1,0,0
skpenaltyshotpct,0,0,0,0,0,0
skoffsides,13,0,18,12,3,0
skoffsidespg,0.5,0,0.7,0.5,0.1,0
skfights,0,0,0,1,0,0
skfightswon,0,0,0,0,0,0
skfo,43,0,747,1,0,0
skfow,19,0,422,1,0,0
skfol,24,0,325,0,0,0
skfop,44.2,0,56.5,100,0,0
skhits,74,10,84,24,76,19
skhitspg,2.7,1.2,3.1,1,3,1.7
skbs,14,7,13,14,32,21
skshots,176,27,156,145,15,11
skshotpct,14.2,3.7,26.3,22.1,6.7,18.2
skshotspg,6.5,3.4,5.8,6,0.6,1
skshotattempts,240,50,200,193,24,31
skshotonnetpct,73.3,54,78,75.1,62.5,35.5
skpasses,573,122,354,507,616,254
skpassattempts,766,159,535,688,786,334
skpasspct,74.8,76.7,66.2,73.7,78.4,76
sksaucerpasses,5,4,17,3,3,28
skdekes,10,2,17,6,7,0
skdekesmade,3,1,11,4,3,0
skgiveaways,214,50,319,197,130,108
skinterceptions,152,32,94,109,121,55
skscrnchances,221,42,169,177,21,27
skscrngoals,0,0,0,0,0,0
skbrkgoals,0,0,6,0,0,0
skbreakaways,3,0,22,6,0,0
skbreakawaypct,0,0,27.3,0,0,0
skgc,27,8,27,24,24,11
skgcFC,0,0,0,0,0,0
skhattricks,2,0,5,2,0,0
skprevgoals,2,0,0,2,0,0
skprevassists,2,0,0,2,0,0
skpossession,7059,2005,8433,6087,4792,3488
skdeflections,2,0,14,0,0,0
skpkclearzone,24,3,2,5,6,8
lwgp,0,0,0,24,2,0
rwgp,27,0,0,0,0,0
cgp,0,0,27,0,0,0
dgp,0,8,0,0,23,11
skgp,27,8,27,24,25,11
gamesplayed,27,8,27,24,25,11
gamesCompleted,27,8,27,24,24,11
gamesCompletedFC,0,0,0,0,0,0
skwinpct,66,50,66,75,68,63
xfactor_zoneability_goals,4,0,0,5,0,0
xfactor_zoneability_assists,0,1,4,0,0,1
xfactor_zoneability_saves,0,0,0,0,0,0
xfactor_zoneability_hits,0,0,0,0,0,0
xfactor_zoneability_stick_checks,38,21,15,1,100,55
xfactor_zoneability_times_used,94,23,133,45,33,28
xfactor_superstarability_goals,2,0,0,3,0,0
xfactor_superstarability_assists,0,0,0,0,0,1
xfactor_superstarability_saves,0,0,0,0,0,0
xfactor_superstarability_hits,0,0,0,0,0,0
xfactor_superstarability_stick_checks,38,21,15,1,96,55
favoritePosition,rightWing,defenseMen,center,leftWing,defenseMen,defenseMen
goals,25,1,41,32,1,2
assists,45,8,32,32,19,10
points,70,9,73,64,20,12
pointspg,2.6,1.1,2.7,2.7,0.8,1.1
gwg,2,0,4,4,0,0
plusmin,21,3,20,32,27,3
toi,1673,468,1650,1490,1534,649
pim,16,12,45,18,14,16
ppg,3,0,5,6,0,0
shg,3,0,4,5,0,0
penaltyshotgoals,0,0,0,0,0,0
penaltyattempts,0,0,1,1,0,0
penaltyshotpct,0,0,0,0,0,0
offsides,13,0,18,12,3,0
offsidespg,0.5,0,0.7,0.5,0.1,0
fights,0,0,0,1,0,0
fightswon,0,0,0,0,0,0
fo,43,0,747,1,0,0
fow,19,0,422,1,0,0
fol,24,0,325,0,0,0
fop,44.2,0,56.5,100,0,0
hits,74,10,84,24,76,19
hitspg,2.7,1.2,3.1,1,3,1.7
bs,14,7,13,14,32,21
shots,176,27,156,145,15,11
shotpct,14.2,3.7,26.3,22.1,6.7,18.2
shotspg,6.5,3.4,5.8,6,0.6,1
shotattempts,240,50,200,193,24,31
shotonnetpct,73.3,54,78,75.1,62.5,35.5
passes,573,122,354,507,616,254
passattempts,766,159,535,688,786,334
passpct,74.8,76.7,66.2,73.7,78.4,76
saucerpasses,5,4,17,3,3,28
dekes,10,2,17,6,7,0
dekesmade,3,1,11,4,3,0
giveaways,214,50,319,197,130,108
interceptions,152,32,94,109,121,55
scrnchances,221,42,169,177,21,27
scrngoals,0,0,0,0,0,0
brkgoals,0,0,6,0,0,0
breakaways,3,0,22,6,0,0
breakawaypct,0,0,27.3,0,0,0
gc,27,8,27,24,24,11
gcFC,0,0,0,0,0,0
hattricks,2,0,5,2,0,0
prevgoals,2,0,0,2,0,0
prevassists,2,0,0,2,0,0
possession,7059,2005,8433,6087,4792,3488
deflections,2,0,14,0,0,0
pkclearzone,24,3,2,5,6,8
penaltiesdrawn,28,0,17,25,9,4
gp,27,8,27,24,25,11
winpct,66,50,66,75,68,63
DNF,0,0,0,0,4,0
,,,,,,
