Player,eLToNy-,SwissyChief,Matmenlar,CobraInterpol,Dr_Charizard,Merkesh_accote
Wins,34,8,32,34,30,8
Losses,20,6,19,17,18,7
OTL,2,0,2,2,2,0
W_DNF,6,4,6,6,5,0
Goals,54,1,58,67,3,3
Assists,78,10,65,58,35,13
Points,132,11,123,125,38,16
Pts/G,2.4,0.8,2.3,2.4,0.8,1.1
GWG,4,0,6,8,1,0
+/-,32,8,32,45,36,1
TOI,3345,782,3141,3175,3003,889
PIM,45,14,95,38,31,16
PPG,7,0,8,10,0,0
SHG,3,0,5,5,0,0
Penalties,1,0,0,0,0,0
Attempts,1,0,1,1,0,0
P_%,100.0,0.0,0.0,0.0,0.0,0.0
Offsides,28,0,38,30,4,0
Offsides/G,0.5,0.0,0.7,0.6,0.1,0.0
Fights,0,0,3,2,0,0
Fights_Won,0,0,1,0,0,0
Faceoffs,127,0,1381,1,0,0
F_Won,78,0,801,1,0,0
F_Lost,49,0,580,0,0,0
F_Attempts,61.4,0.0,58.0,100.0,0.0,0.0
Hits,215,25,177,46,139,25
Hits/G,3.8,1.8,3.3,0.9,2.8,1.7
Blocks,30,14,25,25,64,24
Shots,343,37,269,352,30,22
Shots_%,15.7,2.7,21.6,19.0,10.0,13.6
Shots/G,6.1,2.6,5.1,6.6,0.6,1.5
S_Attempts,466,70,351,490,62,51
S_On_Net_%,73.6,52.9,76.6,71.8,48.4,43.1
Passes,1052,205,696,1001,1188,348
P_Attempts,1459,257,1010,1382,1489,445
Pass_%,72.1,79.8,68.9,72.4,79.8,78.2
Saucers,11,7,27,5,4,35
Dekes,13,7,19,12,10,0
Dekes_Made,3,5,13,8,3,0
Giveaways,454,75,603,451,246,132
Takeaways,272,48,180,226,243,80
Scrn_Chance,423,58,298,427,57,39
Scrn_Goals,0,0,0,0,0,0
Brk_Goals,4,0,6,4,0,0
Breakaways,9,0,28,15,0,0
Brk_%,44.4,0.0,21.4,26.7,0.0,0.0
Sk_Gc?,55,13,53,51,49,15
Hat_Tricks,6,0,7,5,0,0
Prev_Goals,2,0,0,2,0,0
PrevAssist,2,1,4,1,0,1
Possession,14451,3228,16439,15673,10061,4775
Deflections,9,0,29,1,0,0
Pk_Clear,32,9,4,7,12,9
Pen_Drawn,44,1,35,44,21,5
Games_LW,0,0,0,53,2,0
Games_RW,53,0,0,0,0,0
Games_C,3,0,53,0,0,0
Games_D,0,14,0,0,48,15
Played,56,14,53,53,50,15
DNF,1,7,0,3,2,0
Win_%,60,57,60,64,60,53
clientPlatform,ps5,ps5,ps5,ps5,ps5,ps5
