Player,eLToNy-,SwissyChief,Matmenlar,CobraInterpol,Dr_Charizard,Merkesh_accote
xfactor_zoneability_goals,5,0,0,7,0,0
xfactor_zoneability_assists,0,1,4,0,0,1
xfactor_zoneability_saves,0,0,0,0,0,0
xfactor_zoneability_hits,0,0,0,0,0,0
xfactor_zoneability_stick_checks,38,21,15,1,120,55
xfactor_zoneability_times_used,134,23,174,54,34,28
xfactor_superstarability_goals,2,0,0,5,0,0
xfactor_superstarability_assists,0,0,0,0,0,1
xfactor_superstarability_saves,0,0,0,0,0,0
xfactor_superstarability_hits,0,0,0,0,0,0
